begin_temp	gemiddeld_min	gemiddeld_spreid	gemiddelde			end_temp	gemiddeld_min	gemiddeld_spreid	gemiddelde
1	527	30,41666667	537,5			0,001	526,5	43,41666667	541,5833333
3	527	34,5	539			0,01	526,25	42	541,1666667
5	526,0833333	46,33333333	542,1666667			0,1	526,25	41,91666667	541,3333333
10	525,0833333	63,58333333	547,25			1	526,1666667	47,5	541,8333333
									
									
									
n	gemiddeld_min	gemiddeld_spreid	gemiddelde						
10	526,625	45,375	543,25						
30	526,3125	42,75	541,1875						
50	525,9375	43	540						
