1,1870,1888,1892,1861,1909,1896,1898,1898,1876,1871,1892,1892,1896,1899,1898,1895,1912,1891,1884,1875,
2,1723,1735,1718,1712,1746,1733,1721,1732,1763,1735,1745,1703,1736,1728,1743,1731,1749,1717,1751,1734,
3,1922,1909,1900,1906,1916,1980,1902,1884,1924,1923,1912,1898,1898,1901,1881,1917,1917,1914,1895,1926,
4,2139,2140,2148,2146,2106,2137,2100,2138,2140,2144,2100,2108,2146,2146,2113,2101,2140,2154,2143,2146,
6,706,712,710,712,699,710,711,713,712,713,707,710,712,710,711,709,712,714,709,713,
7,1282,1276,1259,1256,1278,1261,1280,1279,1258,1278,1280,1284,1278,1254,1277,1279,1279,1279,1278,1261,
8,1849,1846,1861,1850,1847,1816,1820,1854,1849,1851,1843,1850,1849,1850,1855,1812,1850,1851,1848,1848,
9,2423,2373,2420,2418,2377,2416,2416,2378,2416,2426,2419,2416,2424,2380,2374,2421,2424,2421,2380,2419,
10,2994,2989,2991,2992,2995,2935,2933,2933,2987,2992,2939,2991,2936,2991,2991,2995,2994,2988,2933,2991,
11,3558,3557,3561,3556,3562,3565,3559,3558,3562,3497,3562,3495,3557,3559,3558,3564,3562,3558,3569,3558,
12,243197,243197,243199,243194,243202,243196,243196,243198,243196,243193,243196,243197,243196,243190,243191,243197,243198,243191,243198,243192,
